2019-08-04T01:48:26+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/revslider/admin/includes/shortcode_generator/elementor/elementor.class.php, 줄 47)

2019-08-04T01:49:26+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/revslider/admin/includes/shortcode_generator/elementor/elementor.class.php, 줄 47)

2019-08-04T01:50:26+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/revslider/admin/includes/shortcode_generator/elementor/elementor.class.php, 줄 47)

2019-08-04T01:51:26+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/revslider/admin/includes/shortcode_generator/elementor/elementor.class.php, 줄 47)

2019-08-04T01:52:26+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/revslider/admin/includes/shortcode_generator/elementor/elementor.class.php, 줄 47)

2019-08-04T01:53:26+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/revslider/admin/includes/shortcode_generator/elementor/elementor.class.php, 줄 47)

2019-08-04T01:54:26+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/revslider/admin/includes/shortcode_generator/elementor/elementor.class.php, 줄 47)

2019-08-04T01:55:26+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/revslider/admin/includes/shortcode_generator/elementor/elementor.class.php, 줄 47)

2019-08-04T01:56:26+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/revslider/admin/includes/shortcode_generator/elementor/elementor.class.php, 줄 47)

2019-08-04T01:57:26+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/revslider/admin/includes/shortcode_generator/elementor/elementor.class.php, 줄 47)

2019-08-04T01:58:26+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/revslider/admin/includes/shortcode_generator/elementor/elementor.class.php, 줄 47)

2019-08-04T01:59:26+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/revslider/admin/includes/shortcode_generator/elementor/elementor.class.php, 줄 47)

2019-08-04T02:00:26+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/revslider/admin/includes/shortcode_generator/elementor/elementor.class.php, 줄 47)

2019-08-04T02:01:26+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/revslider/admin/includes/shortcode_generator/elementor/elementor.class.php, 줄 47)

2019-08-04T02:02:26+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/revslider/admin/includes/shortcode_generator/elementor/elementor.class.php, 줄 47)

2019-08-04T02:02:46+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/revslider/admin/includes/shortcode_generator/elementor/elementor.class.php, 줄 47)

2019-08-04T02:02:52+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/revslider/admin/includes/shortcode_generator/elementor/elementor.class.php, 줄 47)

2019-08-04T07:24:08+00:00 CRITICAL syntax error, unexpected T_FUNCTION(/dmko82/www/wp/wp-content/themes/savoy/includes/woocommerce/woocommerce-functions.php, 줄 370)

2019-08-04T07:24:11+00:00 CRITICAL syntax error, unexpected T_FUNCTION(/dmko82/www/wp/wp-content/themes/savoy/includes/woocommerce/woocommerce-functions.php, 줄 370)

2019-08-04T07:25:20+00:00 CRITICAL Call to undefined function  avada()(/dmko82/www/wp/wp-content/plugins/fusion-builder/inc/lib/inc/class-fusion-dynamic-css-inline.php, 줄 41)

2019-08-04T07:25:38+00:00 CRITICAL Call to undefined function  avada()(/dmko82/www/wp/wp-content/plugins/fusion-builder/inc/lib/inc/class-fusion-dynamic-css-inline.php, 줄 41)

