2019-08-17T07:26:47+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/wp-kakao-plusfriend/wp-kakao-plusfriend.php, 줄 30)

2019-08-17T07:26:51+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/wp-kakao-plusfriend/wp-kakao-plusfriend.php, 줄 30)

2019-08-17T07:26:51+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/wp-kakao-plusfriend/wp-kakao-plusfriend.php, 줄 30)

2019-08-17T07:34:15+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/wp-kakao-plusfriend/wp-kakao-plusfriend.php, 줄 30)

2019-08-17T07:34:19+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/wp-kakao-plusfriend/wp-kakao-plusfriend.php, 줄 30)

2019-08-17T07:34:20+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/wp-kakao-plusfriend/wp-kakao-plusfriend.php, 줄 30)

2019-08-17T07:37:39+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/wp-kakao-plusfriend/wp-kakao-plusfriend.php, 줄 31)

2019-08-17T07:37:43+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/wp-kakao-plusfriend/wp-kakao-plusfriend.php, 줄 31)

2019-08-17T07:37:43+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/wp-kakao-plusfriend/wp-kakao-plusfriend.php, 줄 31)

2019-08-17T07:37:56+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/wp-kakao-plusfriend/includes/functions.php, 줄 7)

2019-08-17T07:38:01+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/wp-kakao-plusfriend/includes/functions.php, 줄 7)

2019-08-17T07:38:01+00:00 CRITICAL syntax error, unexpected T_STRING(/dmko82/www/wp/wp-content/plugins/wp-kakao-plusfriend/includes/functions.php, 줄 7)

